policy_id,age,gender,state,occupation,marital_status,credit_score,policy_type,annual_premium,policy_start_date,years_as_customer,num_prior_claims,has_violations
POL-00001,58,Male,CA,Construction Worker,Divorced,550,Standard,1546.53,2020-07-28,2,6,0
POL-00002,19,Male,OH,Mechanic,Single,503,Comprehensive,2153.3,2023-04-21,8,0,0
POL-00003,62,Female,NJ,Accountant,Married,520,Premium,1266.58,2022-02-17,3,5,0
POL-00004,56,Female,TX,Construction Worker,Widowed,849,Basic,7798.37,2022-02-14,2,8,0
POL-00005,71,Female,MD,Mechanic,Single,346,Standard,6298.01,2020-06-12,7,1,1
POL-00006,35,Female,VA,Nurse,Divorced,663,Standard,5526.31,2023-12-08,2,2,0
POL-00007,28,Female,WA,Accountant,Married,632,Basic,2217.86,2020-03-06,10,6,0
POL-00008,22,Male,MD,Student,Divorced,517,Comprehensive,3467.24,2023-08-09,14,2,0
POL-00009,26,Male,MO,Driver,Divorced,738,Comprehensive,3214.97,2020-10-10,15,1,0
POL-00010,73,Male,PA,Retail Worker,Married,732,Basic,3385.75,2023-05-05,14,8,0
POL-00011,53,Male,NY,Retail Worker,Divorced,648,Basic,2701.25,2020-11-19,14,0,0
POL-00012,50,Male,IN,Student,Single,605,Standard,1646.29,2024-04-10,5,8,0
POL-00013,56,Female,TN,Software Engineer,Single,671,Premium,2295.89,2021-05-08,2,1,1
POL-00014,70,Male,MO,Doctor,Married,431,Comprehensive,7601.37,2020-12-04,8,8,1
POL-00015,31,Male,MI,Electrician,Divorced,748,Comprehensive,1407.53,2021-04-05,2,5,0
POL-00016,55,Male,MD,Mechanic,Single,372,Basic,2217.06,2020-03-05,10,1,0
POL-00017,35,Female,OH,Driver,Married,784,Standard,6384.65,2024-07-11,13,3,0
POL-00018,24,Female,VA,Electrician,Widowed,778,Basic,5550.23,2023-08-16,3,0,1
POL-00019,64,Female,NY,Mechanic,Married,494,Comprehensive,1551.37,2021-01-10,8,7,0
POL-00020,73,Male,MA,Doctor,Single,351,Basic,7767.47,2024-03-23,7,2,1
POL-00021,49,Female,OH,Freelancer,Widowed,360,Standard,3342.3,2022-03-10,8,7,0
POL-00022,45,Female,PA,Mechanic,Divorced,522,Basic,4843.85,2023-01-15,1,5,0
POL-00023,21,Female,IN,Student,Married,358,Basic,6885.07,2020-05-20,2,3,1
POL-00024,25,Male,MD,Chef,Single,383,Comprehensive,5430.3,2023-03-03,10,4,0
POL-00025,60,Female,GA,Accountant,Widowed,434,Premium,3929.18,2024-03-19,2,0,1
POL-00026,57,Male,FL,Driver,Married,818,Premium,1493.42,2021-12-15,2,3,0
POL-00027,36,Male,MA,Freelancer,Divorced,841,Basic,5508.97,2023-02-09,9,1,0
POL-00028,34,Male,NY,Construction Worker,Married,578,Premium,5036.22,2024-01-09,10,3,0
POL-00029,50,Female,NC,Student,Single,394,Comprehensive,6720.11,2020-03-31,0,5,0
POL-00030,58,Female,IL,Construction Worker,Widowed,737,Basic,1339.05,2024-12-13,4,8,0
POL-00031,71,Female,MD,Driver,Married,740,Standard,813.72,2022-01-16,1,5,0
POL-00032,61,Male,NY,Sales Manager,Widowed,458,Standard,6984.54,2024-06-26,5,6,0
POL-00033,29,Female,AZ,Doctor,Married,573,Standard,6405.31,2020-08-09,12,0,1
POL-00034,32,Male,MA,Sales Manager,Divorced,533,Standard,677.48,2021-01-30,12,5,0
POL-00035,73,Male,NC,Sales Manager,Widowed,849,Premium,7544.28,2020-08-24,8,2,0
POL-00036,20,Male,WI,Electrician,Divorced,621,Comprehensive,5046.57,2022-11-13,3,6,0
POL-00037,34,Male,AZ,Software Engineer,Married,672,Comprehensive,1024.8,2023-09-22,10,5,0
POL-00038,64,Female,IN,Accountant,Widowed,634,Comprehensive,5729.06,2023-02-09,4,3,1
POL-00039,60,Female,IL,Chef,Divorced,715,Basic,2779.06,2021-03-06,13,5,1
POL-00040,46,Female,OH,Driver,Widowed,473,Basic,2628.4,2023-09-21,10,1,0
POL-00041,61,Female,GA,Doctor,Married,450,Basic,846.6,2022-08-31,2,7,1
POL-00042,74,Male,WA,Lawyer,Widowed,549,Standard,5420.44,2020-01-12,3,6,0
POL-00043,29,Female,TX,Driver,Married,424,Comprehensive,1500.04,2022-08-09,10,7,1
POL-00044,71,Female,IL,Construction Worker,Widowed,760,Premium,6138.33,2024-09-16,8,8,1
POL-00045,58,Male,NC,Lawyer,Single,592,Standard,2537.86,2021-10-16,2,2,0
POL-00046,32,Female,PA,Construction Worker,Married,365,Comprehensive,3557.0,2023-01-16,14,6,0
POL-00047,31,Female,WA,Student,Single,689,Comprehensive,544.22,2021-12-21,9,6,1
POL-00048,52,Male,TN,Mechanic,Divorced,746,Comprehensive,717.69,2021-11-19,12,2,1
POL-00049,26,Male,WA,Chef,Single,385,Comprehensive,1517.75,2022-08-03,5,0,0
POL-00050,42,Female,OH,Lawyer,Divorced,645,Comprehensive,2586.92,2024-08-30,13,4,0
POL-00051,48,Male,MO,Software Engineer,Divorced,529,Basic,6359.25,2023-08-27,1,0,0
POL-00052,30,Male,WI,Nurse,Married,429,Comprehensive,5520.94,2023-03-01,6,7,0
POL-00053,67,Female,IL,Chef,Single,467,Premium,1310.74,2020-02-22,9,6,1
POL-00054,63,Male,FL,Chef,Married,404,Premium,6877.2,2023-05-14,3,0,0
POL-00055,52,Female,VA,Teacher,Divorced,312,Comprehensive,6667.48,2020-08-04,13,5,1
POL-00056,63,Male,AZ,Nurse,Divorced,795,Comprehensive,3766.81,2024-02-06,8,5,0
POL-00057,71,Male,NC,Student,Widowed,549,Comprehensive,4773.87,2023-09-30,12,5,0
POL-00058,49,Female,IL,Lawyer,Married,663,Premium,3052.54,2024-12-07,8,8,0
POL-00059,51,Male,FL,Mechanic,Widowed,800,Standard,5679.57,2023-08-15,15,7,0
POL-00060,23,Female,GA,Electrician,Married,613,Premium,4049.45,2022-12-23,11,6,0
POL-00061,40,Female,NC,Accountant,Divorced,536,Basic,5909.63,2021-10-08,3,8,0
POL-00062,30,Male,TN,Accountant,Divorced,402,Standard,2721.85,2022-01-09,5,4,0
POL-00063,63,Male,NC,Software Engineer,Single,599,Standard,5284.02,2024-03-21,15,1,0
POL-00064,54,Female,TN,Lawyer,Widowed,648,Standard,7741.23,2021-06-01,15,1,0
POL-00065,43,Female,FL,Chef,Single,455,Standard,6583.57,2021-09-14,2,3,0
POL-00066,53,Female,WI,Chef,Married,835,Comprehensive,3878.86,2022-06-25,9,6,0
POL-00067,54,Male,WI,Construction Worker,Single,512,Standard,2484.85,2020-06-15,5,3,0
POL-00068,53,Male,IL,Software Engineer,Widowed,761,Comprehensive,2684.44,2021-04-19,9,4,1
POL-00069,22,Male,NC,Doctor,Married,735,Basic,4584.22,2023-08-19,4,4,0
POL-00070,22,Male,IL,Doctor,Divorced,595,Comprehensive,1432.65,2023-11-11,9,6,0
POL-00071,50,Female,MA,Teacher,Single,742,Premium,5027.85,2020-02-22,2,3,0
